year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
-10	0.022489	0.0225282	0.0134083	0.0133718	0.0291492	0.0292601	0.026108	0.0262587	0.0240917	0.0241871	0.0701954	0.0664343	0.125508	0.119422	0.11348	0.111497	0.10791	0.104326	0.405246	0.402731	0	0	0	0	0	0	0	0	0
-9.98077	0.0225156	0.0225311	0.0135129	0.013374	0.0291864	0.0292587	0.0261638	0.0262602	0.02414	0.0241882	0.0684061	0.0665082	0.119363	0.119495	0.109344	0.111502	0.103672	0.104366	0.401674	0.402858	0	0	0	0	0	0	0	0	0
-9.96154	0.0223457	0.0225344	0.0134585	0.0133756	0.0291036	0.029259	0.0261475	0.0262627	0.0240938	0.0241899	0.0629943	0.0665115	0.119559	0.119565	0.114034	0.111579	0.104878	0.104425	0.408916	0.40309	0	0	0	0	0	0	0	0	0
-9.94231	0.0223256	0.022535	0.0133444	0.0133783	0.0290057	0.0292566	0.026121	0.0262655	0.0240334	0.0241911	0.066535	0.0664982	0.115641	0.119559	0.110202	0.111593	0.102583	0.104427	0.396807	0.403172	0	0	0	0	0	0	0	0	0
-9.92308	0.0223462	0.0225362	0.013301	0.0133795	0.0290477	0.0292518	0.0261469	0.0262681	0.0240615	0.0241914	0.0688393	0.0664987	0.122504	0.119497	0.114552	0.111637	0.107254	0.10443	0.409177	0.403159	0	0	0	0	0	0	0	0	0
-9.90385	0.0224051	0.0225369	0.0133267	0.0133796	0.029142	0.0292439	0.0261827	0.0262713	0.0241028	0.0241915	0.0684396	0.0666123	0.115717	0.119544	0.110861	0.111758	0.103333	0.104527	0.400805	0.403442	0	0	0	0	0	0	0	0	0
-9.88462	0.0224359	0.0225373	0.0132869	0.013379	0.0291942	0.0292373	0.0261937	0.026273	0.0241097	0.0241908	0.0647031	0.0666211	0.114574	0.119455	0.111638	0.111641	0.102577	0.104445	0.400805	0.403204	0	0	0	0	0	0	0	0	0
-9.86538	0.0224298	0.0225404	0.0131917	0.0133798	0.0291061	0.0292353	0.026192	0.0262749	0.0240767	0.0241919	0.0628382	0.0666705	0.119137	0.119419	0.110507	0.111678	0.102984	0.104463	0.397792	0.403274	0	0	0	0	0	0	0	0	0
-9.84615	0.0223609	0.0225434	0.0131174	0.0133795	0.0290586	0.0292317	0.0261409	0.0262772	0.0240236	0.0241927	0.0617813	0.0666542	0.116489	0.119524	0.109454	0.111683	0.101455	0.104493	0.389015	0.403246	0	0	0	0	0	0	0	0	0
-9.82692	0.0223176	0.0225455	0.0131093	0.0133769	0.0291037	0.029226	0.0260813	0.0262787	0.0240009	0.024192	0.0652217	0.066582	0.113863	0.119459	0.111443	0.11157	0.102374	0.104402	0.395417	0.402863	0	0	0	0	0	0	0	0	0
