year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
-0.942308	0.103779	0.103529	0.0650267	0.0652867	0.1337	0.133743	0.0999099	0.0998635	0.101548	0.101557	0.369072	0.369534	0.467545	0.476913	0.27076	0.271184	0.350444	0.353543	2.63249	2.6309	0	0	0	0	0	0	0	0	0
-0.923077	0.10398	0.103532	0.0651365	0.0652836	0.133854	0.133734	0.0998905	0.0998703	0.101569	0.101558	0.371238	0.369434	0.483293	0.476818	0.270439	0.271135	0.355463	0.353469	2.64344	2.63106	0	0	0	0	0	0	0	0	0
-0.903846	0.103777	0.10354	0.0649861	0.0652835	0.13399	0.133732	0.0999455	0.0998785	0.101575	0.101561	0.361906	0.369459	0.480984	0.477127	0.273174	0.271286	0.354122	0.353641	2.65416	2.63169	0	0	0	0	0	0	0	0	0
-0.884615	0.103842	0.103543	0.0649165	0.065285	0.133924	0.13373	0.0999883	0.0998862	0.101585	0.101565	0.363822	0.369401	0.484583	0.477094	0.272241	0.27139	0.355154	0.35367	2.63773	2.63212	0	0	0	0	0	0	0	0	0
-0.865385	0.103909	0.103549	0.0646777	0.0652871	0.134046	0.133726	0.100051	0.0998953	0.101618	0.101569	0.358445	0.369409	0.475954	0.477203	0.272725	0.27151	0.35167	0.353763	2.65636	2.63231	0	0	0	0	0	0	0	0	0
-0.846154	0.103929	0.103555	0.0647597	0.0652792	0.133944	0.133728	0.100001	0.0999079	0.101561	0.101575	0.37153	0.368998	0.469871	0.477215	0.272707	0.271618	0.352603	0.353733	2.63067	2.63296	0	0	0	0	0	0	0	0	0
-0.826923	0.103973	0.103564	0.0649495	0.0652698	0.134004	0.133729	0.0998791	0.0999179	0.101567	0.101579	0.375741	0.368851	0.474391	0.477131	0.269907	0.271717	0.353486	0.353725	2.60158	2.63308	0	0	0	0	0	0	0	0	0
-0.807692	0.10371	0.103577	0.0649029	0.0652642	0.133812	0.13374	0.0997105	0.099926	0.101409	0.101586	0.358226	0.368952	0.464888	0.477262	0.262357	0.271759	0.343247	0.353806	2.59851	2.63252	0	0	0	0	0	0	0	0	0
-0.788462	0.103944	0.103587	0.0650234	0.06526	0.134018	0.133752	0.0996263	0.0999296	0.101483	0.10159	0.377722	0.368734	0.480317	0.477115	0.275683	0.271623	0.358508	0.353649	2.61493	2.63203	0	0	0	0	0	0	0	0	0
-0.769231	0.10398	0.103598	0.0650233	0.0652546	0.133939	0.133761	0.0995399	0.099928	0.101433	0.101593	0.37362	0.368628	0.46837	0.476906	0.271647	0.271615	0.352088	0.35356	2.61349	2.63166	0	0	0	0	0	0	0	0	0
-0.75	0.104147	0.103606	0.0651439	0.0652501	0.133736	0.133763	0.0994251	0.0999232	0.101366	0.101591	0.372652	0.368884	0.47378	0.476572	0.268095	0.271579	0.351763	0.353497	2.61772	2.63135	0	0	0	0	0	0	0	0	0
-0.730769	0.10401	0.103616	0.0650113	0.0652448	0.133759	0.133755	0.099302	0.0999175	0.101265	0.101587	0.36395	0.3688	0.475045	0.476235	0.266977	0.271584	0.349752	0.353381	2.61337	2.63095	0	0	0	0	0	0	0	0	0
-0.711538	0.10438	0.103623	0.0653855	0.065234	0.133733	0.133751	0.099322	0.0999082	0.101351	0.101581	0.380857	0.368624	0.479482	0.476257	0.269555	0.271528	0.355921	0.353323	2.64121	2.63074	0	0	0	0	0	0	0	0	0
-0.692308	0.104298	0.103636	0.0653173	0.0652325	0.133681	0.13375	0.0993369	0.0998985	0.101316	0.101577	0.377214	0.368919	0.471145	0.476338	0.267589	0.271458	0.351687	0.353375	2.62757	2.63119	0	0	0	0	0	0	0	0	0
