year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
-0.557692	0.0396178	0.0838435	0.0233117	0.0540003	0.0515567	0.106836	0.0426065	0.0859331	0.0407359	0.0845737	0.0626204	0.331465	0.0907668	0.46076	0.0507641	0.272026	0.0652494	0.341126	0.426731	2.43804	0	0	0	0	0	0	0	0	0
-0.538462	0.0405239	0.0838389	0.0237759	0.0539888	0.0529102	0.106838	0.0434447	0.0859356	0.0416398	0.0845729	0.127521	0.331354	0.178636	0.460793	0.100053	0.272099	0.129392	0.341147	0.835213	2.43812	0	0	0	0	0	0	0	0	0
-0.519231	0.0432651	0.0838354	0.0257921	0.0539772	0.0560524	0.106845	0.0458937	0.0859367	0.0441889	0.0845722	0.233925	0.331387	0.31057	0.460806	0.176818	0.272103	0.228939	0.341161	1.48853	2.43798	0	0	0	0	0	0	0	0	0
-0.5	0.0480699	0.0838333	0.02888	0.0539732	0.0623196	0.106843	0.0503441	0.085938	0.0488364	0.0845713	0.368823	0.331517	0.509082	0.460932	0.286012	0.272173	0.370304	0.341259	2.42067	2.43845	0	0	0	0	0	0	0	0	0
-0.480769	0.0549262	0.0838317	0.0334535	0.0539689	0.0711281	0.106843	0.057267	0.0859395	0.0557842	0.0845714	0.542306	0.331417	0.746586	0.461067	0.423774	0.272345	0.545457	0.341362	3.60997	2.4393	0	0	0	0	0	0	0	0	0
-0.461538	0.0636688	0.0838264	0.0390514	0.0539675	0.0824227	0.106839	0.065893	0.085947	0.0644595	0.0845743	0.726818	0.331424	1.00918	0.461182	0.576298	0.272467	0.737697	0.341457	4.96513	2.44014	0	0	0	0	0	0	0	0	0
-0.442308	0.0739339	0.0838151	0.0460337	0.0539585	0.095522	0.106828	0.0761289	0.0859493	0.0747407	0.0845706	0.926962	0.33139	1.29777	0.460745	0.748735	0.2725	0.950766	0.341333	6.44573	2.44025	0	0	0	0	0	0	0	0	0
-0.423077	0.0845787	0.0838051	0.0535551	0.0539507	0.109246	0.10682	0.0873459	0.0859548	0.0858285	0.084569	1.13152	0.331312	1.56723	0.460865	0.915688	0.272878	1.15637	0.341535	7.96421	2.4413	0	0	0	0	0	0	0	0	0
-0.403846	0.0958808	0.0837739	0.0614305	0.0539357	0.124142	0.106792	0.0987771	0.0859542	0.0973966	0.0845567	1.27921	0.33104	1.8489	0.460447	1.07009	0.272929	1.34748	0.341374	9.38676	2.44145	0	0	0	0	0	0	0	0	0
-0.384615	0.108308	0.0837429	0.0699583	0.053925	0.139691	0.106774	0.110666	0.0859515	0.109544	0.0845461	1.48818	0.3305	2.11329	0.461113	1.23851	0.273116	1.55323	0.341548	10.7272	2.44128	0	0	0	0	0	0	0	0	0
