year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
3.30769	0.0424516	0.0744795	0.0258353	0.048407	0.0552698	0.0955435	0.0476793	0.080045	0.044764	0.0771298	0.00256873	0.301314	0.00416647	0.420433	0.00219708	0.253678	0.00286474	0.313622	0.0192929	2.2342	0	0	1.37284e+006	0	0	0	0	0	0
3.32692	0.0409442	0.07448	0.0247383	0.0484133	0.0532907	0.0955294	0.0461223	0.0800451	0.0431999	0.0771264	0.00267127	0.301327	0.00385964	0.420438	0.00228879	0.253668	0.00283933	0.313621	0.0197853	2.23417	0	0	1.37293e+006	0	0	0	0	0	0
3.34615	0.0394676	0.0744801	0.0237286	0.0484173	0.0514017	0.0955154	0.0445207	0.0800467	0.041666	0.0771233	0.00385923	0.301316	0.0041454	0.420435	0.00182076	0.253669	0.00294794	0.313619	0.0181052	2.23417	0	0	1.37303e+006	0	0	0	0	0	0
3.36538	0.0379262	0.0744793	0.0227855	0.0484193	0.0494356	0.0955036	0.0430309	0.080048	0.0401734	0.0771204	0.00329648	0.301334	0.00439459	0.420443	0.00248179	0.253654	0.00322633	0.313618	0.0195246	2.23415	0	0	1.37313e+006	0	0	0	0	0	0
3.38462	0.0366104	0.0744764	0.021846	0.0484221	0.0477493	0.095488	0.0416241	0.0800502	0.038805	0.0771172	0.00448469	0.301323	0.00906522	0.420436	0.00442876	0.253652	0.00582602	0.313612	0.0342115	2.23414	0	0	1.37329e+006	0	0	0	0	0	0
3.40385	0.0355321	0.0744735	0.0211157	0.048424	0.0464039	0.0954742	0.0403987	0.0800518	0.0376698	0.0771142	0.011646	0.301319	0.0183594	0.420487	0.00900812	0.253663	0.0123603	0.313632	0.077816	2.23413	0	0	1.37361e+006	0	0	0	0	0	0
3.42308	0.034853	0.0744701	0.0206321	0.0484276	0.0455552	0.0954611	0.0395656	0.080052	0.0369226	0.0771111	0.0298419	0.301331	0.0410833	0.420481	0.0217869	0.253628	0.0292608	0.313616	0.194232	2.23403	0	0	1.37438e+006	0	0	0	0	0	0
3.44231	0.0348325	0.0744673	0.0205793	0.0484301	0.0455261	0.0954481	0.0394743	0.0800532	0.0368703	0.0771083	0.0599195	0.301378	0.0825417	0.420484	0.0486218	0.25361	0.0611495	0.313617	0.399762	2.23414	0	0	1.37608e+006	0	0	0	0	0	0
3.46154	0.0361915	0.0744634	0.0214355	0.0484311	0.0472636	0.0954354	0.0405146	0.0800562	0.0380728	0.0771064	0.118814	0.301311	0.172125	0.420491	0.0947438	0.253636	0.122971	0.313618	0.789906	2.23422	0	0	1.37949e+006	0	0	0	0	0	0
3.48077	0.0391426	0.0744579	0.02339	0.048432	0.0507758	0.0954244	0.0428974	0.0800624	0.0406951	0.0771069	0.206411	0.301197	0.289543	0.420567	0.163659	0.253715	0.210342	0.313655	1.37139	2.23467	0	0	1.38525e+006	0	0	0	0	0	0
3.5	0.0440896	0.0744557	0.0266066	0.0484356	0.0571813	0.0954119	0.0473971	0.0800672	0.0454426	0.0771071	0.338064	0.301073	0.471539	0.420603	0.267068	0.253751	0.343212	0.313656	2.23073	2.23459	0	0	1.39465e+006	0	0	0	0	0	0
3.51923	0.0511944	0.0744538	0.0309591	0.0484375	0.0661102	0.0953999	0.0540149	0.0800715	0.0521719	0.0771074	0.487966	0.30086	0.681618	0.420755	0.397153	0.253761	0.501394	0.31366	3.30571	2.23486	0	0	1.40855e+006	0	0	0	0	0	0
