year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
-9.61538	0.154857	0.312421	0.100156	0.220664	0.191648	0.378705	0.107655	0.208074	0.129818	0.259334	0.0489241	2.10188	0.0188799	1.12241	0.00293065	0.202043	0.0174416	0.879225	0.527657	41.0175	0	0	0	0	0	0	0	0	0
-9.59615	0.152432	0.312413	0.098542	0.220675	0.188247	0.378686	0.105588	0.208068	0.127496	0.259328	0.115631	2.1019	0.0452299	1.1224	0.00683014	0.20205	0.0413608	0.87923	1.20611	41.0173	0	0	0	0	0	0	0	0	0
-9.57692	0.15417	0.312405	0.0998824	0.220689	0.189311	0.378668	0.105677	0.208062	0.128166	0.259322	0.26164	2.10197	0.100238	1.12242	0.0149987	0.202048	0.0927326	0.879248	2.8233	41.0171	0	0	0	0	0	0	0	0	0
-9.55769	0.163979	0.312395	0.106653	0.2207	0.199027	0.378644	0.109479	0.208058	0.134414	0.259316	0.567859	2.10181	0.21937	1.12236	0.0316144	0.202045	0.201371	0.879197	6.12322	41.0165	0	0	0	0	0	0	0	0	0
-9.53846	0.18476	0.31238	0.121039	0.220703	0.221037	0.378617	0.11935	0.20805	0.148869	0.259307	1.10739	2.10158	0.430471	1.12221	0.0654406	0.202038	0.395405	0.879102	11.9816	41.0158	0	0	0	0	0	0	0	0	0
-9.51923	0.218737	0.312363	0.144476	0.220702	0.257921	0.378584	0.136054	0.20805	0.17296	0.259298	1.90888	2.10171	0.772742	1.12206	0.115715	0.202083	0.692124	0.879116	21.4623	41.0147	0	0	0	0	0	0	0	0	0
-9.5	0.264688	0.312339	0.1769	0.220689	0.308982	0.378553	0.159116	0.208051	0.206235	0.259287	2.98597	2.1019	1.26559	1.12202	0.187888	0.202129	1.10294	0.879179	35.3263	41.0146	0	0	0	0	0	0	0	0	0
-9.48077	0.316031	0.312326	0.213767	0.220683	0.366924	0.378538	0.186501	0.208048	0.244582	0.259279	4.26495	2.10177	1.90432	1.12244	0.290073	0.202103	1.61479	0.87928	54.1697	41.0135	0	0	0	0	0	0	0	0	0
-9.46154	0.36569	0.312314	0.251022	0.220666	0.424725	0.378534	0.215324	0.208053	0.283619	0.259276	5.70877	2.10198	2.70427	1.12294	0.423168	0.202177	2.22475	0.879532	79.2628	41.0136	0	0	0	0	0	0	0	0	0
-9.44231	0.410014	0.312303	0.285447	0.220663	0.478089	0.378531	0.243524	0.20806	0.320317	0.259277	7.25573	2.1017	3.60448	1.12394	0.588778	0.202365	2.90247	0.87989	110.998	41.0156	0	0	0	0	0	0	0	0	0
