year	prev_2_10	prev_2_10_smooth	prev_0_5	prev_0_5_smooth	prev_6_15	prev_6_15_smooth	prev_15	prev_15_smooth	prev_all	prev_all_smooth	clin_inc_0_5	clin_inc_0_5_smooth	clin_inc_5_15	clin_inc_5_15_smooth	clin_inc_15	clin_inc_15_smooth	clin_inc_all	clin_inc_all_smooth	EIR	EIR_smooth	num_itn	num_irs	num_trt	num_smc	num_mda_trt	num_mda_screen	num_vaccinees	num_vacc_doses	num_vaccinees_boost
-9.61538	0.482546	0.482562	0.349629	0.349479	0.528899	0.529025	0.254089	0.253989	0.35534	0.355338	2.03762	2.06153	0.79911	0.798419	0.160343	0.162059	0.749583	0.754837	40.9103	40.949	0	0	0	0	0	0	0	0	0
-9.59615	0.483285	0.482549	0.351239	0.349482	0.529233	0.529014	0.254227	0.253993	0.355864	0.355336	2.12367	2.06163	0.817316	0.798339	0.16683	0.162098	0.776534	0.754868	40.9219	40.9484	0	0	0	0	0	0	0	0	0
-9.57692	0.483208	0.482542	0.351391	0.349498	0.52886	0.529005	0.254182	0.253995	0.35576	0.355336	2.06235	2.06207	0.800977	0.798273	0.160756	0.162134	0.755631	0.754976	40.8405	40.9483	0	0	0	0	0	0	0	0	0
-9.55769	0.482831	0.482539	0.350776	0.34952	0.528692	0.528995	0.254089	0.253997	0.355491	0.355339	2.03201	2.06188	0.798424	0.798393	0.162029	0.162109	0.749123	0.754974	40.8975	40.9471	0	0	0	0	0	0	0	0	0
-9.53846	0.483262	0.482538	0.35146	0.349533	0.528738	0.528981	0.254202	0.253998	0.355688	0.355337	2.05913	2.06124	0.798018	0.798476	0.161737	0.16214	0.754682	0.754894	41.0405	40.9469	0	0	0	0	0	0	0	0	0
-9.51923	0.482869	0.482544	0.351312	0.349567	0.528399	0.528971	0.254196	0.254003	0.355531	0.355341	2.05341	2.06136	0.794746	0.798402	0.165091	0.162101	0.754085	0.754896	40.9336	40.9502	0	0	0	0	0	0	0	0	0
-9.5	0.482329	0.482545	0.350607	0.3496	0.528315	0.52896	0.254105	0.254007	0.355321	0.355345	2.05486	2.06109	0.799804	0.798523	0.160223	0.16216	0.75351	0.754919	40.9202	40.9492	0	0	0	0	0	0	0	0	0
-9.48077	0.481572	0.482543	0.350206	0.349629	0.527701	0.528945	0.254112	0.254009	0.355018	0.355346	2.04049	2.06144	0.803196	0.798525	0.160959	0.162122	0.751769	0.75499	40.9655	40.9475	0	0	0	0	0	0	0	0	0
-9.46154	0.481705	0.482524	0.350706	0.349649	0.527496	0.528914	0.254081	0.254014	0.355038	0.355341	2.07711	2.06087	0.793685	0.798417	0.162275	0.162117	0.757391	0.754847	41.0068	40.9446	0	0	0	0	0	0	0	0	0
-9.44231	0.481585	0.482514	0.351469	0.349688	0.527652	0.528874	0.254141	0.25402	0.355225	0.355337	2.07287	2.06136	0.78881	0.798184	0.163376	0.162161	0.755516	0.754917	41.005	40.9446	0	0	0	0	0	0	0	0	0
-9.42308	0.481494	0.482504	0.351544	0.349742	0.527404	0.528839	0.254044	0.254024	0.355182	0.355338	2.05495	2.06173	0.804357	0.79801	0.159775	0.162164	0.754626	0.754956	40.9927	40.9437	0	0	0	0	0	0	0	0	0
-9.40385	0.48109	0.482486	0.351048	0.349793	0.527743	0.528797	0.254006	0.254025	0.355107	0.355335	2.04084	2.06158	0.791889	0.798245	0.162761	0.162107	0.749388	0.754976	40.9032	40.9449	0	0	0	0	0	0	0	0	0
-9.38462	0.482126	0.482451	0.352177	0.349828	0.528871	0.52876	0.254345	0.254027	0.355796	0.355329	2.10974	2.06121	0.812741	0.798136	0.165527	0.162123	0.771566	0.754886	40.9057	40.9442	0	0	0	0	0	0	0	0	0
-9.36538	0.481966	0.482423	0.351683	0.349868	0.528871	0.528733	0.25428	0.254031	0.355653	0.355328	2.03258	2.06107	0.792145	0.797917	0.161972	0.162126	0.747349	0.754802	40.8684	40.9426	0	0	0	0	0	0	0	0	0
-9.34615	0.482008	0.482397	0.35187	0.349899	0.528599	0.528714	0.254377	0.254033	0.35568	0.355326	2.05594	2.06077	0.79238	0.797867	0.163056	0.162144	0.753032	0.754743	40.8934	40.9415	0	0	0	0	0	0	0	0	0
-9.32692	0.482369	0.482367	0.352821	0.349927	0.528462	0.528685	0.254409	0.254039	0.355889	0.355322	2.06632	2.06076	0.798969	0.797892	0.162452	0.162148	0.756913	0.754764	40.8031	40.9421	0	0	0	0	0	0	0	0	0
-9.30769	0.482434	0.482355	0.352481	0.349982	0.528618	0.528669	0.254448	0.254047	0.355807	0.355329	2.03561	2.061	0.790942	0.798082	0.162211	0.162175	0.747823	0.754897	40.8203	40.9389	0	0	0	0	0	0	0	0	0
-9.28846	0.482918	0.482352	0.352156	0.350026	0.529162	0.528657	0.254477	0.254058	0.355892	0.355335	2.06132	2.06036	0.801182	0.798008	0.162514	0.162198	0.756486	0.754764	40.9441	40.9358	0	0	0	0	0	0	0	0	0
-9.26923	0.482506	0.482365	0.351711	0.350063	0.528874	0.528658	0.25448	0.254071	0.35575	0.355345	2.05246	2.06035	0.792088	0.798056	0.162714	0.162231	0.751943	0.754803	40.9378	40.9364	0	0	0	0	0	0	0	0	0
-9.25	0.482746	0.482368	0.351432	0.350102	0.529334	0.528657	0.254328	0.254081	0.355763	0.355353	2.06254	2.06043	0.800754	0.798014	0.161545	0.162203	0.756173	0.754804	40.9085	40.9365	0	0	0	0	0	0	0	0	0
-9.23077	0.48296	0.482369	0.35139	0.35014	0.529014	0.528661	0.254296	0.254088	0.355687	0.355361	2.04139	2.06069	0.79969	0.798003	0.16203	0.162204	0.751577	0.754868	40.9573	40.9364	0	0	0	0	0	0	0	0	0
-9.21154	0.483296	0.482381	0.351576	0.350187	0.528859	0.528661	0.254109	0.254096	0.355615	0.355371	2.06443	2.0608	0.804743	0.797988	0.161174	0.162205	0.757561	0.754898	40.9675	40.9377	0	0	0	0	0	0	0	0	0
-9.19231	0.483861	0.482406	0.352041	0.350239	0.529856	0.528669	0.254311	0.254097	0.356085	0.355381	2.12983	2.06101	0.821713	0.798329	0.166775	0.162206	0.779244	0.755057	40.9881	40.938	0	0	0	0	0	0	0	0	0
-9.17308	0.483374	0.482426	0.351982	0.350282	0.529444	0.528676	0.254489	0.254095	0.356026	0.355388	2.04215	2.06167	0.7984	0.798524	0.163666	0.162166	0.752223	0.755249	40.9717	40.9381	0	0	0	0	0	0	0	0	0
-9.15385	0.482894	0.482438	0.35117	0.350326	0.529488	0.528689	0.254379	0.2541	0.355829	0.355399	2.04476	2.06172	0.803197	0.798669	0.163559	0.162204	0.75416	0.755335	40.9439	40.9378	0	0	0	0	0	0	0	0	0
-9.13462	0.482755	0.482446	0.351149	0.350349	0.529559	0.528707	0.254388	0.254103	0.355827	0.355407	2.06831	2.0617	0.790768	0.798934	0.162789	0.162262	0.755149	0.755454	40.9445	40.9376	0	0	0	0	0	0	0	0	0
-9.11538	0.482722	0.482452	0.350889	0.350388	0.529527	0.528717	0.254254	0.254111	0.355685	0.355418	2.05552	2.06228	0.792835	0.798858	0.163107	0.16236	0.753231	0.755616	40.8978	40.9377	0	0	0	0	0	0	0	0	0
-9.09615	0.482625	0.482461	0.350342	0.350426	0.52931	0.528724	0.254187	0.254117	0.355539	0.355429	2.03548	2.06264	0.799933	0.798612	0.165475	0.162321	0.752221	0.755613	40.9852	40.9368	0	0	0	0	0	0	0	0	0
-9.07692	0.482671	0.482471	0.350325	0.35045	0.52933	0.528733	0.254167	0.254123	0.355556	0.355437	2.04071	2.06268	0.795118	0.798612	0.163757	0.162397	0.751024	0.755673	40.9892	40.9384	0	0	0	0	0	0	0	0	0
-9.05769	0.482427	0.48249	0.350091	0.350469	0.528721	0.528749	0.25395	0.254131	0.355218	0.355447	2.04029	2.06231	0.796588	0.798611	0.164408	0.162463	0.751748	0.755641	40.8572	40.9395	0	0	0	0	0	0	0	0	0
-9.03846	0.481925	0.482505	0.349809	0.350478	0.528488	0.528756	0.253955	0.254131	0.355048	0.355448	2.07099	2.0616	0.795786	0.79865	0.1621	0.162507	0.756844	0.755539	41.0285	40.9383	0	0	0	0	0	0	0	0	0
-9.01923	0.481674	0.482501	0.34939	0.35049	0.528007	0.528753	0.253972	0.254134	0.354898	0.355448	2.04234	2.06183	0.796842	0.798524	0.163062	0.162503	0.75158	0.755563	41.0209	40.9389	0	0	0	0	0	0	0	0	0
-9	0.483172	0.482497	0.350623	0.350495	0.528996	0.528743	0.254455	0.254136	0.355745	0.355445	2.11335	2.06135	0.816374	0.798657	0.165708	0.162576	0.773885	0.75555	41.0887	40.9402	0	0	0	0	0	0	0	0	0
-8.98077	0.48323	0.482505	0.350627	0.350515	0.529183	0.528744	0.254419	0.254142	0.355749	0.35545	2.07391	2.06118	0.799141	0.798479	0.16359	0.162582	0.759323	0.755483	41.0272	40.9436	0	0	0	0	0	0	0	0	0
-8.96154	0.483746	0.482526	0.350831	0.350539	0.529513	0.528754	0.254425	0.254145	0.35588	0.355455	2.05975	2.06079	0.795489	0.798642	0.16246	0.162633	0.754688	0.755492	41.0281	40.9463	0	0	0	0	0	0	0	0	0
-8.94231	0.48382	0.482562	0.350972	0.350571	0.529416	0.528775	0.254391	0.254152	0.355876	0.355468	2.05923	2.06102	0.793328	0.798687	0.16452	0.162669	0.754921	0.755591	41.0078	40.9496	0	0	0	0	0	0	0	0	0
-8.92308	0.483832	0.482593	0.35088	0.350608	0.529567	0.528788	0.2543	0.254162	0.355881	0.355481	2.05015	2.06094	0.791566	0.798645	0.162812	0.162742	0.751633	0.755616	40.9341	40.9506	0	0	0	0	0	0	0	0	0
-8.90385	0.483921	0.482621	0.350844	0.350647	0.530377	0.528805	0.254186	0.254169	0.355969	0.355494	2.06965	2.06073	0.804126	0.798441	0.162861	0.162759	0.759527	0.75554	40.904	40.9493	0	0	0	0	0	0	0	0	0
-8.88462	0.483291	0.482648	0.350108	0.35069	0.530168	0.528832	0.254276	0.254172	0.355737	0.355508	2.04502	2.06093	0.794467	0.798594	0.160109	0.162783	0.75016	0.755658	40.9005	40.9475	0	0	0	0	0	0	0	0	0
-8.86538	0.483274	0.482664	0.350539	0.350714	0.530061	0.52885	0.254262	0.254175	0.35581	0.355515	2.08278	2.06073	0.80007	0.798359	0.16383	0.162718	0.761714	0.755532	40.9197	40.9474	0	0	0	0	0	0	0	0	0
